#Fichero de Estímulos de Registro Universal.
#Device Name: Discovery2NI
#Nombre: Izan Amador, Jorge Benavides
#Fecha: 6 de Diciembre de 2022.
#
# Delay Time (ns)	Control (C)	Dato de entrada (D)
  0 ns			    00010101010
  10 ns			    00100000000
  10 ns			    01000000000
  10 ns			    01100000000
  10 ns			    10000000000
  10 ns			    10100000000
  10 ns			    11000000000
  10 ns			    11100000000
  10 ns			    00100000000
  10 ns			    01000000000
  10 ns			    01100000000
  10 ns			    10000000000
  10 ns			    10100000000
  10 ns			    11000000000
  10 ns			    11100000000
  10 ns			    00000000000
  10 ns			    00100000000
  10 ns			    01000000000
  10 ns			    01100000000
  10 ns			    10000000000
  10 ns			    10100000000
  10 ns			    11000000000
  10 ns			    11100000000
